Sun Jan  8 21:51:35 2017    /tmp/prof(10)

         970035 function calls in 122.652 seconds

   Ordered by: cumulative time
   List reduced from 226 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      443    2.211    0.005   23.251    0.052 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/resampling.py:81(resample2D)
      466    2.196    0.005    2.196    0.005 {numpy.core.multiarray.copyto}
     3347    1.388    0.000    1.388    0.000 {numpy.core.multiarray.zeros}
    51936    1.257    0.000    1.257    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      100    0.906    0.009    7.526    0.075 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/smcsquare.py:143(xresample)
      466    0.814    0.002    0.814    0.002 {numpy.core.multiarray.empty_like}
        6    0.322    0.054    0.322    0.054 {__import__}
       11    0.266    0.024    2.928    0.266 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/parallelSIRs.py:77(first_step)
     1524    0.209    0.000    0.209    0.000 {method 'readline' of 'file' objects}
    12451    0.209    0.000    1.145    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/linalg/decomp_svd.py:15(svd)
    12451    0.203    0.000    0.413    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/linalg/lapack.py:447(_compute_lwork)
        8    0.137    0.017    0.150    0.019 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/smcsquare.py:148(thetaresample)
    12451    0.117    0.000    0.279    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/linalg/blas.py:223(_get_funcs)
    12451    0.068    0.000    0.225    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/_lib/_util.py:141(_asarray_validated)
       25    0.067    0.003    0.191    0.008 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/lib/shape_base.py:20(apply_along_axis)
        8    0.064    0.008   48.970    6.121 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/smcsquare.py:160(PMCMCstep)
    12451    0.062    0.000    0.062    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/getlimits.py:245(__init__)
    12451    0.060    0.000    0.149    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/fromnumeric.py:354(repeat)
     5908    0.059    0.000    0.059    0.000 {method 'copy' of 'numpy.ndarray' objects}
    12451    0.057    0.000    0.106    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/linalg/blas.py:177(find_best_blas_type)
    12451    0.056    0.000    0.132    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/lib/function_base.py:959(asarray_chkfinite)
    63564    0.055    0.000    0.055    0.000 {numpy.core.multiarray.array}
    74723    0.046    0.000    0.046    0.000 {getattr}
    24902    0.038    0.000    0.159    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/fromnumeric.py:1892(any)
     9000    0.038    0.000    0.040    0.000 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/models/nestedLGSSMtheta.py:39(logdprior)
    12451    0.037    0.000    0.089    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/fromnumeric.py:43(_wrapit)
        8    0.035    0.004    0.035    0.004 {method 'seek' of 'file' objects}
    13348    0.033    0.000    0.394    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/fromnumeric.py:1743(sum)
    51728    0.031    0.000    0.031    0.000 {isinstance}
    12000    0.031    0.000    2.850    0.000 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/models/nestedLGSSMx.py:67(firstStateGenerator)
    25000    0.028    0.000    0.028    0.000 {method 'put' of 'numpy.ndarray' objects}
    16000    0.028    0.000    0.048    0.000 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/src/smcsquare.py:185(multinorm_logpdf)
    32032    0.026    0.000    0.026    0.000 {numpy.core.multiarray.dot}
     1520    0.025    0.000    0.025    0.000 {eval}
    12451    0.024    0.000    0.041    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/numerictypes.py:964(find_common_type)
    25361    0.024    0.000    0.029    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/numeric.py:484(asanyarray)
     8451    0.023    0.000    0.023    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
    25201    0.020    0.000    0.043    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/numeric.py:414(asarray)
      443    0.020    0.000   78.811    0.178 /Users/jieding/Dropbox/MyResearch2016/Hrule_SSM_Pierre/py-smc2-master/models/nestedLGSSMx.py:79(transitionAndWeight)
    12451    0.018    0.000    0.018    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    12902    0.017    0.000    0.017    0.000 {method 'astype' of 'numpy.ndarray' objects}
    24910    0.015    0.000    0.095    0.000 {method 'any' of 'numpy.ndarray' objects}
    12451    0.015    0.000    0.293    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/scipy/linalg/lapack.py:405(get_lapack_funcs)
    24902    0.015    0.000    0.017    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/numerictypes.py:942(_can_coerce_all)
    25010    0.012    0.000    0.080    0.000 /Users/jieding/anaconda/lib/python2.7/site-packages/numpy/core/_methods.py:37(_any)


